stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1550056,,"ON 47TH AT WYANDOTTE WESTBOUND NEARSIDE",,  39.042347, -94.589156,,,0,
1550091,,"ON CLEVELAND AT 53RD SOUTHBOUND",,  39.029762, -94.541217,,,0,
1550093,,"ON SWOPE PKWY AT 5630 SWOPE PKWY SOUTHBOUND",,  39.024097, -94.541695,,,0,
1550094,,"ON SWOPE PKWY AT 57TH SOUTHBOUND NEARSIDE",,  39.022241, -94.541776,,,0,
1550095,,"ON SWOPE PKWY AT 58TH SOUTHBOUND",,  39.020716, -94.541854,,,0,
1552500,,"ON CLEVELAND AT 55TH NORTHBOUND NEARSIDE",,  39.025966, -94.541262,,,0,
1562300,,"ON OAK AT 112TH NORTHBOUND",,  38.924036, -94.588194,,,0,
1562301,,"ON 103RD AT 1227 WEST 103RD EB",,  38.941994, -94.607437,,,0,
1562305,,"ON CARONDELET AT 621 NORTHBOUND",,  38.935782, -94.601460,,,0,
1562306,,"ON CARONDELET AT JEFFERSON EASTBOUND",,  38.936782, -94.599690,,,0,
1562307,,"ON CARONDELET AT WORNALL EASTBOUND",,  38.936646, -94.596996,,,0,
1562308,,"ON 103RD AT WATTS MILL EASTBOUND",,  38.941952, -94.606656,,,0,
1562309,,"ON 103RD AT MADISON WESTBOUND",,  38.941806, -94.603928,,,0,
1562310,,"ON WORNALL AT 97TH TER SOUTHBOUND",,  38.951683, -94.596138,,,0,
1562501,,"ON WORNALL AT 9450 WORNALL RD SOUTHBOUND",,  38.957685, -94.595990,,,0,
1562502,,"ON WORNALL AT 108TH TER NORTHBOUND",,  38.932373, -94.595506,,,0,
1600,,"RIVER MARKET NORTH ON 3RD ST AT GRAND WB",,  39.110246, -94.581659,,,0,
16002,,"ON OAK AT TRUMAN RD NEARSIDE NB",,  39.095512, -94.578700,,,0,
1601,,"RIVER MARKET WEST ON DELAWARE AT 4TH ST SB",,  39.108848, -94.584417,,,0,
1602,,"NORTH LOOP ON MAIN AT 7TH ST SB",,  39.105427, -94.583172,,,0,
1603,,"LIBRARY ON MAIN AT 9TH ST SB",,  39.103050, -94.583139,,,0,
1604,,"METRO CENTER ON MAIN AT 12TH ST SB",,  39.099829, -94.583256,,,0,
1605,,"POWER & LIGHT ON MAIN AT 14TH ST SB",,  39.096872, -94.583399,,,0,
1606,,"KAUFFMAN CENTER ON MAIN AT 16TH ST SB",,  39.094329, -94.583530,,,0,
1607,,"CROSSROADS ON MAIN AT 19TH ST SB",,  39.090282, -94.583720,,,0,
1608,,"UNION STATION ON MAIN AT PERSHING SB",,  39.084683, -94.584079,,,0,
