service_id,date,exception_type
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230606,1
UGT-Weekday-15-UGT-1111100,20230606,1
INDEWk1-Weekday-22-INDE2015-1111100,20230607,1
Jul-2022-Weekday-17-J-202207-1111000,20230607,1
Jul-2022-Weekday-17-J-202207-1111100,20230607,1
AprWk-Weekday-1-202304-1111100,20230607,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230607,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230607,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230607,1
UGT-Weekday-15-UGT-1111100,20230607,1
INDEWk1-Weekday-22-INDE2015-1111100,20230608,1
Jul-2022-Weekday-17-J-202207-1111000,20230608,1
Jul-2022-Weekday-17-J-202207-1111100,20230608,1
AprWk-Weekday-1-202304-1111100,20230608,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230608,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230608,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230608,1
UGT-Weekday-15-UGT-1111100,20230608,1
INDEWk1-Weekday-22-INDE2015-1111100,20230609,1
Jul-2022-Weekday-17-J-202207-1111100,20230609,1
AprWk-Weekday-1-202304-1111100,20230609,1
STCfri-Friday-48-STC2021APR-0000100,20230609,1
STCfri-Friday-48-STC2021APR-1111110,20230609,1
STCfri-Friday-48-STC2021APR-1111111,20230609,1
UGT-Weekday-15-UGT-1111100,20230609,1
INDESat1-Saturday-21-INDE2015-0000010,20230610,1
AprSat-Saturday-1-202304-0000010,20230610,1
STCsat-Saturday-51-STC2021APR-0000010,20230610,1
AprSun-Sunday-1-202304-0000001,20230611,1
May2022-Sunday-37-STC2021APR-0000001,20230611,1
May2022-Sunday-37-STC2021APR-1111111,20230611,1
INDEWk1-Weekday-22-INDE2015-1111100,20230612,1
Jul-2022-Weekday-17-J-202207-1111000,20230612,1
Jul-2022-Weekday-17-J-202207-1111100,20230612,1
AprWk-Weekday-1-202304-1111100,20230612,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230612,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230612,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230612,1
UGT-Weekday-15-UGT-1111100,20230612,1
INDEWk1-Weekday-22-INDE2015-1111100,20230613,1
